date,median,mean,count,
5/6/2025,4.042313665,4.626937541,1306,
5/7/2025,4,4.469226793,1183,
5/8/2025,4.202065477,4.741283466,1188,
5/9/2025,4,4.577804391,1031,
5/10/2025,4.111111111,4.645461931,962,
5/11/2025,4.090909091,4.638504058,784,
5/12/2025,4.043298566,4.561985127,1270,
5/13/2025,3.977777778,4.56778525,1251,
5/14/2025,3.887721755,4.445847511,1214,
5/15/2025,4.1,4.731134454,1216,
5/16/2025,4.1,4.719515964,1216,
5/17/2025,3.90625,4.434364683,897,
5/18/2025,4.2,4.730310423,799,
5/19/2025,4.038461538,4.562136823,1327,
5/20/2025,4.003462454,4.705728846,1068,
5/21/2025,4.025157233,4.596876477,1153,
5/22/2025,4.199775071,4.799417655,1212,
5/23/2025,4.068181818,4.648798274,887,
5/24/2025,4.053632679,4.649678429,539,
5/25/2025,3.958333333,4.511436399,712,
5/26/2025,4.000931173,4.596652932,1270,
5/27/2025,3.964757709,4.491460778,1073,
5/28/2025,4.084770115,4.645253465,1190,
5/29/2025,4.060846561,4.692998758,1237,
5/30/2025,4.122834471,4.82406344,994,
5/31/2025,4.060846561,4.658307736,673,
6/1/2025,4.197961,4.791294,297,
6/2/2025,4.106666667,4.700640005,1585,
6/3/2025,4.095238095,4.562432205,1387,
6/4/2025,4.049493813,4.66156986,1299,
6/5/2025,4.1,4.684167679,1309,
6/6/2025,4.113747,4.680306,1220,
6/7/2025,4.008438819,4.564207296,903,
6/8/2025,4.157427938,4.672901614,873,
6/9/2025,4.14573386,4.768795322,1478,
6/10/2025,4.129106298,4.689247839,1221,
6/11/2025,3.900227,4.567746,508,
6/12/2025,4,4.620563542,1312,
6/13/2025,4.129920955,4.803558301,1168,
6/14/2025,4.056603774,4.634750361,931,
6/15/2025,4.110970996,4.65893954,771,
6/16/2025,4.161646586,4.785333438,1278,
6/17/2025,4.098736,4.656334,1206,
6/18/2025,4.196188,4.782042,1414,
6/19/2025,4.036541,4.673308,1453,
6/20/2025,4.125,4.798961918,1041,
6/21/2025,4.1,4.679569659,781,
6/22/2025,3.975310488,4.493985589,642,
6/23/2025,4.004106776,4.620631452,1327,
6/24/2025,4.151786,4.623476,843,
6/25/2025,4.00939,4.57574,712,
6/26/2025,4.15208494,4.718732946,1107,
6/27/2025,4.197995,4.804957,699,
6/28/2025,4,4.585679334,708,
6/29/2025,3.805099743,4.334556478,246,
6/30/2025,3.9,4.472743486,356,
7/1/2025,4.300577991,4.921654479,1406,
7/2/2025,4.247641509,4.787805781,1164,
7/3/2025,4.2,4.751316512,973,
7/4/2025,4.206879485,4.784469282,889,
7/5/2025,4.109560122,4.655118576,504,
7/6/2025,4.19,4.760928297,595,
7/7/2025,4.3,4.93063061,889,
7/8/2025,4.2,4.717297287,619,
7/9/2025,4.15200873,4.728407079,434,
7/10/2025,4.3,5.079625109,286,
7/11/2025,4.602987421,5.169054109,90,
7/12/2025,4.105392157,4.659277222,157,
7/13/2025,4.18,4.851779327,273,
7/14/2025,4.408363072,4.972777906,472,
7/15/2025,4.2,4.757374789,531,
7/16/2025,4.143223344,4.785199647,620,
7/17/2025,3.899553571,4.386902782,296,
7/18/2025,4.2,4.631393283,419,
7/19/2025,3.991905813,4.654895203,845,
7/20/2025,4.20247625,4.757525464,766,
7/21/2025,4.144,4.707220362,1481,
7/22/2025,4.2,4.73711812,1282,
7/23/2025,4.253968254,4.858379562,1347,
7/24/2025,4.145464061,4.640655403,768,
7/25/2025,4.199088221,4.667823928,1250,
7/26/2025,4.197183099,4.693063168,969,
7/27/2025,4.2,4.775388083,794,
7/28/2025,4.271428571,4.903649706,1467,
7/29/2025,4.201680672,4.692951231,1335,
7/30/2025,4.184496568,4.664822552,1428,
7/31/2025,4.245614035,4.73612057,1223,
8/1/2025,4.097147934,4.694128045,962,
8/2/2025,4.135802469,4.604509214,1145,
8/3/2025,4.104936679,4.597450878,710,
8/4/2025,4.285714286,4.848931829,1673,
8/5/2025,4.2,4.741457671,1554,
8/6/2025,4.264705882,4.868854127,778,
8/7/2025,4.207317073,4.806152613,1499,
8/8/2025,4.221875,4.765777666,728,
8/9/2025,4.151871173,4.756910228,1236,
8/10/2025,4.168045445,4.754782981,1096,
8/11/2025,4.113315429,4.692096619,1762,
8/12/2025,4.095935213,4.657132661,1523,
8/13/2025,4.1,4.644679505,1756,
8/14/2025,4.1,4.679915641,1415,
8/15/2025,4.00816478,4.583272223,1327,
8/16/2025,4.155250391,4.654549677,1282,
8/17/2025,4,4.527903489,443,
8/18/2025,4.18494152,4.77647635,881,
8/19/2025,4.2,4.73160467,918,
8/20/2025,4.198848906,4.799073356,760,
8/21/2025,4.278462654,4.749765292,915,
8/22/2025,4.073956443,4.618643299,1062,
8/23/2025,4.291250688,4.860959028,1388,
8/24/2025,4.2,4.74012185,892,
8/25/2025,4.305381727,4.877895203,1895,
8/26/2025,4.179591127,4.733963947,1638,
8/27/2025,4.276241808,4.805824788,1798,
